anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,0,0,7,2025-03-06,7
0,0,0,6,2025-03-08,6
0,0,0,3,2025-03-09,3
0,0,0,4,2025-03-10,4
0,0,0,11,2025-03-11,11
0,0,0,8,2025-03-12,8
0,0,0,7,2025-03-13,7
0,0,0,9,2025-03-14,9
0,0,0,7,2025-03-15,7
0,0,0,2,2025-03-16,2
0,0,0,11,2025-03-17,11
0,0,0,16,2025-03-18,16
0,0,0,18,2025-03-19,18
0,0,0,20,2025-03-20,20
0,0,0,15,2025-03-21,15
0,0,0,15,2025-03-22,15
0,0,0,27,2025-03-23,27
0,0,0,27,2025-03-24,27
1,0,0,31,2025-03-25,30
0,0,0,28,2025-03-26,28
0,0,0,15,2025-03-27,15
0,0,0,37,2025-03-28,37
0,0,0,26,2025-03-29,26
0,0,0,15,2025-03-30,15
0,0,0,23,2025-03-31,23
1,0,0,33,2025-04-01,32
0,0,0,11,2025-04-02,11
0,0,0,32,2025-04-03,32
0,0,0,19,2025-04-04,19
0,0,0,6,2025-04-05,6
